adv,adv_attribution
maybe,0.021990419171834415
maybe,0.021990419171834415
more,0.003492241840041468
perhaps,2.4647064257791297e-05
generally,5.763006009083129e-05
simply,3.4258188762180125e-05
very,0.0004267493776573758
specifically,9.894120137978888e-07
typically,2.6422781318769207e-05
far,0.030864520781285813
more,0.003492241840041468
often,0.18809969089135165
now,0.020482144244758287
as,0.005910869729766178
fair,0.006438377989620208
enough,0.038182418546508216
actually,0.02024790052138393
otherwise,2.6709509526798318e-05
unnecessarily,0.0
rather,3.2386329627886596e-05
soon,1.552313989323511e-05
how,0.011291060207061021
right,0.01575369180340423
else,3.2740563011497186e-05
merely,2.058817577095946e-05
above,1.3474405982078002e-05
so,0.012668555403823988
actually,0.02024790052138393
here,0.013058234503259387
more,0.003492241840041468
now,0.020482144244758287
probably,0.007594868558525457
btw,0.0
perhaps,2.4647064257791297e-05
evidently,6.636542107874139e-06
certainly,3.2506414007478606e-05
better,0.022336396443656207
moreover,0.0
how,0.011291060207061021
foremost,0.0
always,5.651527191184529e-05
simply,3.4258188762180125e-05
already,0.0055740044710203985
also,3.939177701676398e-05
apparently,0.0010831762887112209
there,0.0006474370654746454
even,0.0012275454386821798
why,0.04499547789507638
recognizably,0.0
just,0.005392557721053908
quite,4.6419601017217355e-05
personally,1.1496012566724027e-05
so,0.012668555403823988
earlier,0.0
perhaps,2.4647064257791297e-05
at,0.008083696890627354
all,0.016762882591835383
just,0.005392557721053908
perhaps,2.4647064257791297e-05
maybe,0.021990419171834415
back,0.020371977388389164
forth,0.0
certainly,3.2506414007478606e-05
indeed,2.4316913620424962e-05
perhaps,2.4647064257791297e-05
even,0.0012275454386821798
nearly,0.021960529914990343
certainly,3.2506414007478606e-05
there,0.0006474370654746454
automatically,6.902033076028998e-06
however,0.017856913352569326
on,0.0040465092021713155
there,0.0006474370654746454
probably,0.007594868558525457
too,0.01221369369616272
yet,0.013219129209180029
yet,0.013219129209180029
very,0.0004267493776573758
completely,0.00014398544393890475
probably,0.007594868558525457
when,0.009102604520280885
realistically,0.0
probably,0.007594868558525457
at,0.008083696890627354
all,0.016762882591835383
that,0.0021153435794114524
never,0.020942364493819712
even,0.0012275454386821798
before,0.0005608545179220459
only,0.006555071044314288
here,0.013058234503259387
longer,1.1272204132040882e-05
why,0.04499547789507638
how,0.011291060207061021
also,3.939177701676398e-05
at,0.008083696890627354
all,0.016762882591835383
rather,3.2386329627886596e-05
how,0.011291060207061021
clearly,4.130202635979298e-05
so,0.012668555403823988
simply,3.4258188762180125e-05
then,0.014523088883873572
no,0.005851300821436282
longer,1.1272204132040882e-05
as,0.005910869729766178
here,0.013058234503259387
only,0.006555071044314288
just,0.005392557721053908
so,0.012668555403823988
here,0.013058234503259387
here,0.013058234503259387
ever,0.08087175168005667
here,0.013058234503259387
personally,1.1496012566724027e-05
more,0.003492241840041468
much,0.004551166021850389
more,0.003492241840041468
where,0.005383133152023464
when,0.009102604520280885
where,0.005383133152023464
later,4.4382116823109566e-05
now,0.020482144244758287
furthest,0.0
rather,3.2386329627886596e-05
furthest,0.0
as,0.005910869729766178
far,0.030864520781285813
so,0.012668555403823988
commonly,0.0
quite,4.6419601017217355e-05
apart,2.479043259815296e-05
when,0.009102604520280885
up,0.011366339707248221
accidentally,1.9301631059334214e-05
how,0.011291060207061021
elsewhere,3.545144315468818e-05
so,0.012668555403823988
better,0.022336396443656207
much,0.004551166021850389
sooner,0.0
later,4.4382116823109566e-05
most,4.861713683125803e-05
less,2.5918746200367337e-05
so,0.012668555403823988
as,0.005910869729766178
well,0.0016694630001331447
there,0.0006474370654746454
necessarily,2.3549795152942403e-05
where,0.005383133152023464
above,1.3474405982078002e-05
genoicide,0.0
now,0.020482144244758287
where,0.005383133152023464
just,0.005392557721053908
right,0.01575369180340423
now,0.020482144244758287
right,0.01575369180340423
now,0.020482144244758287
now,0.020482144244758287
forth,0.0
now,0.020482144244758287
actually,0.02024790052138393
merely,2.058817577095946e-05
falsely,1.4804340295001419e-05
so,0.012668555403823988
there,0.0006474370654746454
when,0.009102604520280885
exemple,0.0
just,0.005392557721053908
often,0.18809969089135165
homily,0.0
really,0.018393076783114408
how,0.011291060207061021
actually,0.02024790052138393
perhaps,2.4647064257791297e-05
up,0.011366339707248221
too,0.01221369369616272
late,1.4993414609829376e-05
straight,3.76409339519737e-06
absolutely,0.0035240312779306567
only,0.006555071044314288
worldwide,0.0
very,0.0004267493776573758
indeed,2.4316913620424962e-05
very,0.0004267493776573758
far,0.030864520781285813
more,0.003492241840041468
widely,5.807262515060481e-05
well,0.0016694630001331447
very,0.0004267493776573758
first,2.2912330226998e-05
once,0.00567287100347044
again,0.0004310251021314026
so,0.012668555403823988
just,0.005392557721053908
then,0.014523088883873572
when,0.009102604520280885
here,0.013058234503259387
well,0.0016694630001331447
actually,0.02024790052138393
well,0.0016694630001331447
very,0.0004267493776573758
pretty,2.0405234930020152e-05
how,0.011291060207061021
why,0.04499547789507638
especially,3.1409190165447805e-05
then,0.014523088883873572
again,0.0004310251021314026
instead,0.001502137864733788
differently,0.0
